Date,Open,High,Low,Close,Change,Volume
2015-08-04,24935.51,24985.64,24773.53,24904.39,-26.51,310670432
2015-08-05,24944.25,25107.1,24932.41,25065.24,160.85,336736000
2015-08-06,25078.27,25319.33,25078.27,25184.16,118.92,337828576
2015-08-07,25197.0,25269.7,25172.21,25235.97,51.81,291146368
2015-08-10,25248.94,25339.97,25113.02,25141.86,-94.11,264648752
2015-08-11,25154.94,25289.75,25154.94,25231.34,89.48,328299904
2015-08-12,25242.92,25307.13,25028.78,25043.18,-188.16,359960608
2015-08-13,25052.71,25146.43,25052.7,25082.03,38.85,380072128
2015-08-17,25089.81,25140.45,24849.54,24853.78,-228.25,347845344
2015-08-18,24859.74,24954.31,24752.22,24817.69,-36.09,277832960
2015-08-19,24860.48,24948.5,24756.29,24761.12,-56.57,210591840
2015-08-20,24754.68,24758.51,24510.58,24539.47,-221.65,281711232
2015-08-21,24532.7,24571.38,23964.89,24128.62,-410.85,314498336
2015-08-24,23929.34,23929.34,23210.59,23228.28,-900.34,322553728
2015-08-25,23200.57,23601.66,23010.42,23573.63,345.35,395400576
2015-08-26,23634.25,23727.7,23356.5,23448.38,-125.25,278693024
2015-08-27,23459.46,23768.58,23459.46,23746.27,297.89,223249584
2015-08-28,23776.58,24120.39,23776.58,24100.0,353.73,282651136
2015-08-31,24193.57,24391.36,24064.86,24345.61,245.61,353050720
2015-09-01,24339.58,24510.0,24141.75,24186.61,-159.0,353537824
2015-09-02,24069.1,24155.43,23959.17,24037.75,-148.86,248895424
2015-09-03,24096.84,24213.44,24013.12,24031.99,-5.76,260294544
2015-09-04,24049.62,24134.95,23513.8,23736.77,-295.22,231011584
2015-09-07,23731.23,23731.23,22990.91,23105.02,-631.75,218485680
2015-09-08,23080.98,23471.2,22912.65,23434.14,329.12,291911872
2015-09-09,23546.68,23685.96,23486.5,23654.55,220.41,195245024
2015-09-10,23655.69,23660.49,23444.9,23612.65,-41.9,170243664
2015-09-11,23617.99,23770.96,23541.53,23561.62,-51.03,151719552
2015-09-14,23567.46,23657.66,23302.65,23340.4,-221.22,133618784
2015-09-15,23338.83,23353.93,23177.39,23223.87,-116.53,132151000
2015-09-16,23224.89,23377.59,23224.89,23350.43,126.56,104043448
2015-09-17,23447.01,23591.97,23211.66,23222.06,-128.37,182831328
2015-09-18,23256.46,23276.77,22945.73,22981.39,-240.67,123552888
2015-09-21,22971.66,22971.66,22802.41,22950.28,-31.11,105414088
2015-09-22,22963.49,23156.17,22954.27,22984.52,34.24,137060512
2015-09-23,22982.99,22998.32,22907.73,22975.25,-9.27,130228040
2015-09-28,23006.62,23063.14,22893.05,22902.5,-72.75,110867168
2015-09-29,22877.59,22877.59,22472.41,22611.22,-291.28,178739936
2015-09-30,22652.47,22798.96,22497.66,22708.7,97.48,209502544
2015-10-01,22708.65,23008.31,22708.65,22982.92,274.22,180410512
2015-10-02,23003.86,23132.05,22955.94,23070.78,87.86,210887632
2015-10-05,23085.93,23132.64,22919.0,22944.2,-126.58,166367632
2015-10-06,23007.69,23257.69,23007.69,23222.55,278.35,148527968
2015-10-07,23338.88,23377.05,23266.37,23350.7,128.15,132477392
2015-10-08,23348.48,23412.48,23270.93,23405.61,54.91,179222576
2015-10-09,23496.38,23730.7,23496.38,23673.77,268.16,248919280
2015-10-12,23680.84,23930.23,23680.84,23890.27,216.5,195913888
2015-10-13,23816.96,23920.56,23765.96,23805.76,-84.51,239439904
2015-10-14,23807.39,23897.58,23769.52,23798.92,-6.84,192667232
2015-10-15,23822.27,23894.03,23749.76,23760.21,-38.71,145161232
2015-10-16,23777.49,23834.05,23679.73,23805.11,44.9,132078712
2015-10-19,23816.01,23877.03,23806.12,23807.75,2.64,135239376
2015-10-20,23811.84,23844.14,23751.35,23758.08,-49.67,170272992
2015-10-21,23777.13,23835.09,23720.63,23766.83,8.75,139145072
2015-10-22,23781.52,23856.87,23744.16,23769.24,2.41,202243184
2015-10-26,23773.13,23840.55,23714.86,23718.55,-50.69,146725040
2015-10-27,23725.44,23733.97,23631.31,23690.38,-28.17,126756784
2015-10-28,23691.6,23818.07,23691.6,23759.65,69.27,163809616
2015-10-29,23853.32,23970.1,23853.32,23956.78,197.13,192390992
2015-10-30,23994.66,24017.2,23902.39,23945.47,-11.31,196233472
2015-11-02,23967.4,24024.17,23856.54,23861.19,-84.28,122521800
2015-11-03,23879.79,23946.67,23876.27,23931.95,-70.76,123980600
2015-11-04,23936.58,24108.5,23936.58,24083.61,151.66,184796400
2015-11-05,24091.44,24118.77,24043.67,24067.34,-16.27,200149968
2015-11-06,24082.4,24133.92,24038.0,24044.75,-22.59,302886400
2015-11-09,24053.3,24068.41,23957.54,23968.47,-76.28,219697744
2015-11-10,23978.32,23979.03,23728.95,23743.99,-224.48,205273984
2015-11-11,23724.96,23785.7,23594.8,23718.29,-25.7,152290624
2015-11-12,23736.25,23918.44,23736.25,23853.69,135.4,167590400
2015-11-13,23862.61,23893.78,23803.6,23839.78,-13.91,181483856
2015-11-16,23807.94,23807.94,23691.85,23746.18,-93.6,131314976
2015-11-17,23760.32,23892.17,23760.32,23844.04,97.86,190863792
2015-11-18,23864.28,23940.23,23769.2,23783.49,-60.55,184436464
2015-11-19,23789.69,23812.34,23743.5,23751.5,-31.99,189775728
2015-11-20,23758.57,23810.8,23703.52,23714.27,-37.23,182388736
2015-11-23,23732.06,23757.42,23647.8,23657.11,-57.16,143763008
2015-11-24,23675.7,23741.44,23488.07,23488.07,-169.04,157742688
